"subject","trial","trial.type","choice"
"16133",1,"Which candidate is more warm?","pity.target"
"16133",10,"Which candidate is more competent?","envy.target"
"16133",11,"Which candidate is more competent?","envy.target"
"16133",12,"Which candidate is more competent?","envy.target"
"16133",13,"Which candidate is more competent?","envy.target"
"16133",14,"Which candidate is more competent?","envy.target"
"16133",15,"Which candidate is more competent?","envy.target"
"16133",16,"Which candidate is more warm?","pity.target"
"16133",17,"Which candidate is more competent?","envy.target"
"16133",18,"Which candidate is more competent?","envy.target"
"16133",19,"Which candidate is more warm?","pity.target"
"16133",2,"Which candidate is more competent?","envy.target"
"16133",20,"Which candidate is more competent?","envy.target"
"16133",21,"Which candidate is more warm?","pity.target"
"16133",22,"Which candidate is more competent?","envy.target"
"16133",23,"Which candidate is more warm?","pity.target"
"16133",24,"Which candidate is more competent?","envy.target"
"16133",25,"Which candidate is more competent?","envy.target"
"16133",26,"Which candidate is more competent?","envy.target"
"16133",27,"Which candidate is more competent?","envy.target"
"16133",28,"Which candidate is more competent?","envy.target"
"16133",29,"Which candidate is more competent?","envy.target"
"16133",3,"Which candidate is more competent?","envy.target"
"16133",30,"Which candidate is more competent?","envy.target"
"16133",4,"Which candidate is more competent?","envy.target"
"16133",5,"Which candidate is more competent?","envy.target"
"16133",6,"Which candidate is more competent?","envy.target"
"16133",7,"Which candidate is more competent?","envy.target"
"16133",8,"Which candidate is more competent?","envy.target"
"16133",9,"Which candidate is more warm?","pity.target"
"18715",1,"Which candidate is more competent?","envy.target"
"18715",10,"Which candidate is more competent?","envy.target"
"18715",11,"Which candidate is more warm?","pity.target"
"18715",12,"Which candidate is more warm?","pity.target"
"18715",13,"Which candidate is more warm?","pity.target"
"18715",14,"Which candidate is more warm?","pity.target"
"18715",15,"Which candidate is more warm?","pity.target"
"18715",16,"Which candidate is more competent?","envy.target"
"18715",17,"Which candidate is more competent?","envy.target"
"18715",18,"Which candidate is more competent?","pity.target"
"18715",19,"Which candidate is more warm?","pity.target"
"18715",2,"Which candidate is more competent?","envy.target"
"18715",20,"Which candidate is more warm?","pity.target"
"18715",21,"Which candidate is more warm?","pity.target"
"18715",22,"Which candidate is more competent?","envy.target"
"18715",23,"Which candidate is more competent?","envy.target"
"18715",24,"Which candidate is more warm?","pity.target"
"18715",25,"Which candidate is more competent?","envy.target"
"18715",26,"Which candidate is more warm?","pity.target"
"18715",27,"Which candidate is more competent?","envy.target"
"18715",28,"Which candidate is more warm?","pity.target"
"18715",29,"Which candidate is more warm?","pity.target"
"18715",3,"Which candidate is more warm?","pity.target"
"18715",30,"Which candidate is more competent?","envy.target"
"18715",4,"Which candidate is more warm?","pity.target"
"18715",5,"Which candidate is more competent?","envy.target"
"18715",6,"Which candidate is more competent?","envy.target"
"18715",7,"Which candidate is more competent?","envy.target"
"18715",8,"Which candidate is more competent?","envy.target"
"18715",9,"Which candidate is more warm?","pity.target"
"26992",1,"Which candidate is more competent?","pity.target"
"26992",10,"Which candidate is more warm?","pity.target"
"26992",11,"Which candidate is more competent?","envy.target"
